,team,name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0,New York Giants,0.06591147822765472,-0.05157593886913739,-0.0969819217751203,-0.08593599517312753,0.2175823053580406,-0.2750944929253753,-0.16485817083243556,-0.17718166994361842,-0.08616461408281262,-0.24189264276200248,0.03508617416428373
1,1,New Orleans Saints,-0.04867185510567863,0.19061156113086258,-0.022639163838612357,-0.036704844379476735,-0.04618257559434029,0.1828668165984343,0.3274533371040725,0.327778647516699,0.2967718938536954,0.03663405268836001,-0.06492090225138422
2,2,Detroit Lions,-0.244603267443341,0.012102136527688004,0.22271053854234002,-0.04543049373012608,0.10969540059613586,0.0968053086619263,-0.0866091628959276,-0.2584688723245709,-0.15195082440027297,-0.28850848034403764,0.030157357457200634
3,3,Tennessee Titans,-0.09466639875647229,-0.0290255725687711,-0.3175109587104073,-0.24760158652621886,0.11807070584644114,0.13476127630539395,0.06474729314802843,0.09651815453745605,0.21997282486712638,0.23836862898982691,-0.054431273472394986
4,4,Houston Texans,0.2545399504498769,-0.3554144614576599,0.12544539049594194,0.07779523887060649,0.08434054711628239,-0.22188554909143143,0.22546157886231413,0.1223118053311068,-0.23340019100588955,-0.21006887101017313,-0.24197638502095134
5,5,New York Jets,-0.0920622320898056,0.04432512187567334,-0.22289290315485177,0.18729424680711446,-0.15883901637578113,-0.14983693798032038,-0.1964134211376858,-0.012236805780004315,-0.38704602433922286,-0.23193561081160927,-0.07614793904623499
6,6,Kansas City Chiefs,-0.3335293587131821,0.2434818679074194,0.09165322779752925,0.20705660250697022,0.2522472931480284,0.15894282392444156,0.27593280902104433,0.24080138866444012,0.4038145907401423,0.17841155263410474,0.3518056789049665
7,7,Minnesota Vikings,0.134364986524913,-0.15902881585326437,-0.0034799376481361513,0.20258537928574694,0.037274765675500976,0.32398784834446603,0.021029725992961282,0.16117398481828626,-0.03835955455900307,0.0016204879099306208,0.30576157880453236
8,8,Cleveland Browns,-0.1564460253798489,-0.21478946145765998,-0.0146215737897723,-0.2757062943184267,-0.39792631796308264,-0.44361173956762184,-0.03656719097895569,-0.10530476212921065,0.2462005034385549,-0.004434009151760689,-0.06279986045727001
9,9,Chicago Bears,0.14428562144554788,0.058233088908640374,-0.16667438209258056,-0.11537096992060226,-0.2672887263879911,-0.18394865959204199,0.31616861488185016,0.01881287370717519,0.03604520734575878,-0.11871681367737098,-0.31876680046055955
10,10,Tampa Bay Buccaneers,-0.028334553518377038,-0.25284081982151835,-0.2969447193941679,-0.07093103485566721,0.0946904402786756,-0.16931572308410542,-0.15865777400703873,-0.01646738422933277,0.207486179567981,0.28978385427566156,-0.005964209337998411
11,11,Arizona Cardinals,-0.17949910077667433,0.117632890495942,0.18346202663757813,0.3373820062698738,0.00044440853264382865,0.03790153882065646,-0.2751012263879911,-0.15132601518171368,0.0553904454409969,0.16958170716981677,-0.25209596539540463
12,12,Green Bay Packers,0.20331339922332572,0.06368943811498959,0.26636133219313357,0.12222823642860407,0.13102476567550103,-0.05448437387775623,-0.07817662321338792,0.3471858895801909,0.3753309216314731,0.2938079879099306,-0.006016636418564907
13,13,Denver Broncos,0.3341293714455479,0.3287993282248798,0.18986751351181497,0.25715580885617656,0.047882213782949073,-0.13421193798032033,-0.09906719097895568,-0.034992262129210666,-0.1919195362439848,-0.026424756889704786,-0.15095296064009028
14,14,Baltimore Ravens,0.1362127047788812,0.04017085600265747,0.21454509287689436,-0.14326581812795047,0.03758955505279034,0.13079302233713996,0.15539709473533006,0.37584603152158297,0.19907748756553903,-0.02159670756445909,0.10808405249111146
15,15,Las Vegas Raiders,-0.17331110474492822,-0.21981178288623146,-0.2957475658532644,-0.03351879431842668,0.25373538838612364,-0.10048177925016161,-0.23349179415355883,-0.008702579589528114,-0.0044195362439847785,0.10170024311029519,-0.09166544970395736
16,16,Cincinnati Bengals,0.191272228588405,0.20733355441535584,0.1317077912895927,0.2773691025069702,-0.09683504812181284,-0.005615707821590165,-0.10849179415355885,-0.34687222244667093,-0.22750981402176257,0.14194495910220756,0.193519857390499
17,17,Buffalo Bills,-0.05783604161361515,-0.099524084473533,0.07720630319435465,0.012691072203939835,-0.014493778280542997,0.09619480805142572,-0.10712770685197158,0.16683065453745602,0.30045397566077714,0.18371419077569234,0.2710715491427414
18,18,Philadelphia Eagles,-0.194505188439012,0.18205501351181497,0.14756172901853049,-0.03930901104614339,-0.07358832956259426,0.3459372531063708,0.07125294027867558,0.1174611871992387,-0.2379503283685269,0.08831569057133093,0.35484503243200016
19,19,Indianapolis Colts,0.25205979171971815,0.21353395124075272,0.20927475557530706,0.02075158807695572,0.03870562648136178,-0.18914745385333617,0.17585840425913957,-0.018561210541909078,0.2512228248671263,0.055010494069191965,-0.22559269079522967
20,20,New England Patriots,0.2571441171165437,0.28043623298678444,0.25032138255943404,0.26814742141028913,0.41358161854485387,0.32684956995618764,0.20983657886231413,0.2729814481882497,-0.04131189735509588,0.11722113522013677,0.01723296646557606
21,21,Carolina Panthers,-0.0451996328834564,0.2724567992261007,-0.027103449552898094,0.4657753143506821,-0.09181749622926093,0.1749303086619263,-0.030185551784816488,-0.17420547946742793,-0.16800985217805064,-0.16874789175608446,-0.026412043983667713
22,22,Jacksonville Jaguars,-0.3421862400263135,-0.19073192177512033,-0.27038794283739137,-0.11962539605002843,-0.27230627828054305,0.18535651440063206,-0.18078842113768584,-0.06469216292286145,-0.40998749259319106,-0.28144783926414124,0.08653821471658141
